Номер договора,107 ВМ,Дата и время,25.08.26,,,,
Данные о мероприятии,,,,,,,
Формат,Коктейльный Бар ,,,,,,
Количество гостей,,Количество сотрудников,1 старший + 3 бармена,,,,
Данные от заказчика,коктейльный бар на презентации нового бренда моторного масла,,,,,,
Контакты по мероприятию ,,,,,,,
Менеджер по кейтерингу,Александр,,79523765797,,,,
Менеджер отдела продаж,Азамат,,9120883466,,,,
Заказчик,Юлия,,7 968 781 59 88,,,,
Представитель площадки,Виктория,,7 925 304 80 25,,,
Данные о площадке,,,,,,,
Название площадки,Futurione,,,,,,
Точный адрес,"2-я Останкинская ул., 3, Москва ",,,,,,
Комментарии,1 этаж. Занос в помещение не раньше 14:45. Паспорта обязательны для всего персонала.,,,,,,
Заезд свободный (по пропускам),Пропуск,Пропуск на авто и персонал до 21.08.26 (гос номер марка модель; фио),,,,,
Зона разгрузки и ее удаленность,Да,От зоны разгрузки до места работы 300м,,,,,
Согласованная мебель на площадке,Да,Барная стойка от площадки,,,,,
Согласованная посуда на площадке,Нет,Наше стекло,,,,,
Подключение к электричеству,Да,"220 (2кВт), 1 розетка + удлинитель на всякий случай",,,,,
Тайминги мероприятия,,,,,,,
Прибытие на площадку,14:00,Монтаж с 14:00; занос в помещение не раньше 14:45,,,,,
Подготовка к мероприятию,5 часов,"Готовность за полтора часа до начала, сделать фото по ТЗ, выслать менеджеру и в группу фото-отчетов",,,,,
Мероприятие,18:30-21:30,,,,,,
"Сбор, подсчет посуды, упаковка мебели",21:45,,,,,,
Персонал на мероприятии,,,,,,,
Фио,Должность,Телефон,,,Ник в соц сети,,
,Ст.бармен,,,,,,
,бармен,,,,,,
,бармен,,,,,,
,бармен,,,,,,
Оплаченные услуги,,,,,,,
Работа сотрудников (старший бармен + 3 бармена),,"3,5 часа",,,,,
Алкогольные коктейли,,200 штук,,,,,
Б/а коктейли,,150 штук,,,,,
Комплект крепкого алкоголя (для 70 коктейлей),,1,,,,,
"Эффектные подачи (кубы льда, 100 шт., оттиск латунный, работа с жидким азотом, аренда коктейльного бластера)",,1,,,,,
Аренда пивного драфт оборудования,,1,,,,,
Пиво Liebenbräu Helles,,2 по 30л,,,,,
Аренда стеклянных пивных пинт,,120,,,,,
"Логистика (туда-обратно), доставка, монтаж, такелаж, вывоз мусора",,1,,,,,
ВАЖНО: докрутка б/а → алк.,,до 70 порций,"Basil Smash, Mojito, Clover Club, Mai Tai — комплект чистого алкоголя на баре. Остаток алкоголя отдать заказчику.",,,
Текстиль,,,,,,,
Наименование,Минимальное количество,Комментарии,Погрузочное место,Сколько надо,Отметка погрузки,Сколько возврат,Расход
"Фартуки ""Без бренда""",По кол-ву сотрудников,"Чистые, глаженные, целые",4,,,,
Черные Рубашки,По кол-ву сотрудников,"Чистые, глаженные, целые",4,,,,
Черные Брюки,По кол-ву сотрудников,"Чистые, глаженные, целые",4,,,,
Инвентарь,,,,,,,
Шейкер,По 1 на сотрудника + посмотреть кол-во напитков способом Shake ,проверить состояние /чистота,4,,,,
Джиггер,По 1 на сотрудника + по кол-ву гостей в одном заходе,проверить состояние /чистота,8,,,,
Стрейнер хауторн,По 1 на сотрудника + посмотреть кол-во напитков,проверить состояние /чистота,4,,,,
Файн стрейнер,По 1 на сотрудника + посмотреть кол-во напитков,проверить состояние /чистота,4,,,,
Мадлер,По необходимости 1 на сотрудника + по кол-ву гостей в одном заходе,,2,,,,
Гейзер,По кол-ву бутылок (кроме воды/сока/игристого),проверить состояние /чистота,15,,,,
Органайзер под салфетки,мин 1 шт,проверить состояние /чистота,2,,,,
Совок для льда ,по 1 на сотрудника,проверить состояние /чистота,4,,,,
Щипцы пинцет,1 на сотрудника,проверить состояние /чистота,4,,,,
Щипцы для льда( большие ),1 на сотрудника,проверить состояние /чистота,22,,,,
Барная ложка,1 на сотрудника,проверить состояние /чистота,6,,,,
Доска разделочная,2 шт для барной стойки,проверить состояние /чистота,2,,,,
Нож барный,2 шт для барной стойки,проверить состояние /чистота,2,,,,
Нож для снятия цедры,мин 1 шт,проверить состояние /чистота,2,,,,
Емкости под украшения ,1 шт на 1 вид украшение ,,8,,,,
Кулер,мин 1 шт,проверить состояние /чистота,,,,,
Коктейльный бластер,1 комплект,проверить состояние /чистота,1,,,,
Гастроемкость ,мин 2 шт,проверить состояние /чистота,3,,,,
Оборудование,,,,,,,
Термобокс под лед,1 шт на 100 коктейлей (20 кг льда в 1 шт),проверить состояние /чистота,4,,,,
Мусорное ведро,мин 1 шт,проверить состояние /чистота,1,,,,
Отпариватель,,,1,,,,
Контейнер черный большой,,заполняется по факту,,,,,
Контейнер черный маленький,,заполняется по факту,,,,,
Пивное оборудование,,,,,,,
Миниприм,1 шт на стойку,Проверить герметичность соединений,1,,,,
Баллон CO2,По минипримам,Проверить совпадение гайки баллона и редуктора миниприма,1,,,,
Ключ разводной,1 шт,,1,,,,
Гайка переходник для редуктора,По необходимости,Проверить совпадение резьбы баллона и редуктора,1,,,,
Удлинитель ,Минимум 2 шт,по 30-50м,2,,,,
Ведро мусорное,1 шт на 1 стойку,Чистое и целое,2,,,,
Жидкий азот оборудование,,,,,,,
Сосуд Дюара с жидким азотов,,,1,,,,
Термосы для подачи,,,2,,,,
Пуншницы ,,,2,,,,
Электрический чайник,,,1,,,,
Лопатка деревянная,,,2,,,,
Латунный оттиск для льда,1 шт,"Для Negroni, Basil Smash, Old Fashioned — оттиск на каждый куб. После мероприятия отдаём заказчику.",1,,,
Хозка,,,,,,,
Ткань вафельная,1 метр на сотрудника в день,,4,,,,
Тряпка для натирки,мин 1 на сотрудника + 1 каждому если стекло,Микрофибра,4,,,,
Санитайзер для рук,1 на сотрудника,проверить на работоспособность,2,,,,
Салфетки,"кол-во напитков х 1,5",проверисть состояние ,400,,,,
Мусорные мешки,1 на 100 напитков,Лучше взять 2 минимум,4,,,,
Трубочки короткие тонкие ,"кол-во напитков х 1,5 (если есть олд фешен)",,250,,,,
Трубочки длинные тонкие ,"кол-во напитков х 1,5 ",,200,,,,
Бутылка ПЭТ 1л,,,20,,,,
Стрейч пленка,1 рулон ,,1,,,,
Скотч,мин 1 шт,,1,,,,
Посуда,,,,,,,
Old Fashioned,,проверить состояние /чистота,130,,,,
Highball,,проверить состояние /чистота,100,,,,
Wine glass,,проверить состояние /чистота,70,,,,
Shale,,проверить состояние /чистота,70,,,,
Пинта пивная ,,проверить состояние /чистота,120,,,,
Ингридиенты для упаковки,,,,,,,
Позиция ,,,Итого,,,,
Лед (20кг на 100 напитков),"0,15",,МСК,,,,
Крафтовый лед Кубы 5см,,,100,,,,
Белый ром,40,30,1200,,,,
Бурбон,45,30,1350,,,,
Биттер Ангостура,3 дэша,30,1 бут,,,,
Сахар рафинад,5 гр (1 кубик),30,150,,,,
Сухой джин,40,30,1200,,,,
Тоник,120,30,3600,,,,
Сухой джин,45,30,1350,,,,
Белок,20,70,1400,,,,
Сухой джин,60,30,1800,,,,
Ананасовый ром,60,30,1800,,,,
п/ф Сахарный сироп,20,70,1400,,,,
Газированная вода,60,70,4200,,,,
Лайм,50гр (1/2 лайма),70,3500,,,,
Мята (свежая),5гр (10 листиков),70,350,,,,
Лимон,8,100,2000,,,,
Банан,6,70,2000,,,,
Апельсин ,8,130,3250,,,,
Листья банана,,,100,,,,
Negroni,,,2700,,,,
