Номер договора,112 ВМ,Дата и время,24.08.26,,,,
Данные о мероприятии,,,,,,,
Формат,Выездной коктейльный бар,,,,,,
Количество гостей,,Количество сотрудников,1 старший + 1 бармен,,,,
Данные от заказчика,День рождения директора компании Vkorpe,,,,,,
Комментарии к мероприятию,"Дресс-код total black: чёрная рубашка с закатанными рукавами, чёрные брюки, чёрный фартук без лого. Меню готовим мы.",,,,,,
Тайминги мероприятия (если есть) :,,,,,,,
Контакты по мероприятию ,,,,,,,
Менеджер по кейтерингу,Александр,,79523765797,,,,
Менеджер отдела продаж,Азамат,,9120883466,,,,
Заказчик,,,,,,,
Представитель заказчика на площадке,Анастасия,,+7 911 006 96 97,,,,
Данные о площадке,,,,,,,
Название площадки,"БЦ «Скороход», офис Vkorpe",,,,,,
Точный адрес,"Санкт-Петербург, БЦ Скороход — https://yandex.ru/maps/-/CTsp5DoJ",,,,,,
Комментарии,"3 этаж, лифт есть. Вход: кнопка Vkorpe → лифт → 3 этаж → звонок в дверь. Паспорта — на всякий случай.",,,,,,
Заезд свободный (по пропускам),Свободный,Документы на ввоз не нужны,,,,,
Зона разгрузки и ее удаленность,,Требуется уточнение,,,,,
Этажность и наличие лифта,Да,"3 этаж, лифт есть",,,,,
Мероприятие в помещении,Да,Офис на 3 этаже,,,,,
Согласованная мебель на площадке,Нет,Чёрная барная стойка от нас (1 шт.),,,,,
Согласованная посуда на площадке,Нет,Стеклянные бокалы — наши,,,,,
Подключение к электричеству,,Не указано в брифе — требуется уточнение,,,,,
Доступ к воде или мокрой точке,,Не указано в брифе — требуется уточнение,,,,,
Канализация,,Не указано в брифе — требуется уточнение,,,,,
Тайминги мероприятия,,,,,,,
Прибытие на площадку,11:00,Монтаж,,,,,
Подготовка к мероприятию,2 часа,"Готовность за полтора часа до начала, сделать фото по ТЗ, выслать менеджеру и в группу фото-отчетов",,,,,
Мероприятие,13:00-16:00,,,,,,
"Сбор, подсчет посуды, упаковка мебели",16:15,,,,,,
Персонал на мероприятии,,,,,,,
Фио,Должность,Телефон,,,Ник в соц сети,,
,Ст.бармен,,,,,,
,бармен,,,,,,
,,,,,,,
,,,,,,,
Оплаченные услуги,,,,,,,
Аренда барной стойки,,3 часа,Чёрная барная стойка (1 шт.),,,,
Аренда стеклянной посуды,,3 часа,,,,,
Старший бармен,,3 часа,,,,,
Бармен,,3 часа,,,,,
,,,,,,,
Алкогольные коктейли ,,55 штук,Названия не указаны в брифе текстом — только фото (3 позиции). Требуется уточнение.,,,,
Б/А Коктейли,,35 штук,"Pina Colada, Basil-Cucumber, Raspberry Passion",,,,
"Логистика (туда-обратно), доставка, монтаж, такелаж, вывоз мусора",,1,По брифу — 23 000 ₽,,,,
Текстиль,,,,,,,
Наименование,Минимальное количество,Комментарии,Сколько надо,Погрузочное место,Отметка погрузки,Сколько возврат,Расход
"Фартуки ""Все Включено""",По кол-ву сотрудников,"Чистые, глаженные, целые",,,,,
"Фартуки ""Без бренда""",По кол-ву сотрудников,"Чистые, глаженные, целые",,,,,
Белые Футболки ,По кол-ву сотрудников,"Чистые, глаженные, целые",,,,,
Белые Рубашки,По кол-ву сотрудников,"Чистые, глаженные, целые",,,,,
Черные Рубашки,По кол-ву сотрудников,"Чистые, глаженные, целые",,,,,
Черные Брюки,По кол-ву сотрудников,"Чистые, глаженные, целые",,,,,
Скатерть для стола,1шт ,Под цвет стойки (черная скатерть),,,,,
Очки,По кол-ву сотрудников,Чистые в футляре,,,,,
Инвентарь,,,,,,,
Шейкер,По 1 на сотрудника + посмотреть кол-во напитков способом Shake ,проверить состояние /чистота,,,,,
